Original_Value,Product_Code
TW,PROD_2W
Two Wheeler,PROD_2W
2w,PROD_2W
2 Wheeler,PROD_2W
2W,PROD_2W
2-Wheeler,PROD_2W
Private Car,PROD_PC
Pvt Car,PROD_PC
pvt-car,PROD_PC
private car,PROD_PC
PRIVATE CAR,PROD_PC
PVT-CAR,PROD_PC
High End,PROD_PC
PvtCar,PROD_PC
pvt.car,PROD_PC
pvtcar,PROD_PC
high end,PROD_PC
Pvt.Car,PROD_PC
Car,PROD_PC
car,PROD_PC
Goods Vehicle,PROD_GCV
Goods Carrying Vehicle,PROD_GCV
GCV,PROD_GCV
Passenger Vehicle,PROD_PCV
Passenger Carrying Vehicle,PROD_PCV
PCV,PROD_PCV
Misc,PROD_MISC
Miscellaneous,PROD_MISC
Miscellaneous Vehicle,PROD_MISC
MISC,PROD_MISC
Misc Vehicle,PROD_MISC
MISC-D,PROD_MISC
