Mapping_ID,State_Code,Source_State,UI_Display_Value,Is_Active,Mapping_Type,Match_Normalization
SM_001,ST_AP,ANDHARA PRADESH,ANDHARA PRADESH,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_002,ST_AS,ASSAM,ASSAM,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_003,ST_BR,BIHAR,BIHAR,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_004,ST_CH,CHANDIGARH,CHANDIGARH,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_005,ST_CG,CHHATTISGARH,CHHATTISGARH,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_006,ST_DL,DELHI,DELHI,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_007,ST_GA,GOA,GOA,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_008,ST_GJ,GUJARAT,GUJARAT,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_009,ST_HR,HARYANA,HARYANA,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_010,ST_HP,HIMACHAL PRADESH,HIMACHAL PRADESH,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_011,ST_JK,JAMMU & KASHMIR,JAMMU & KASHMIR,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_012,ST_JH,JHARKHAND,JHARKHAND,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_013,ST_KA,KARNATAKA,KARNATAKA,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_014,ST_KL,KERALA,KERALA,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_015,ST_MP,MADHYA PRADESH,MADHYA PRADESH,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_016,ST_MH,MAHARASHTRA,MAHARASHTRA,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_018,ST_OD,ODISHA,ODISHA,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_019,ST_PB,PUNJAB,PUNJAB,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_020,ST_RJ,RAJASTHAN,RAJASTHAN,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_021,ST_TN,TAMIL NADU,TAMIL NADU,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_022,ST_TS,TELENGANA,TELENGANA,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_023,ST_UP,UTTAR PRADESH,UTTAR PRADESH,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_024,ST_UK,UTTARKHAND,UTTARKHAND,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_025,ST_ARUNACHAL_PRADESH,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_026,ST_WB,WESTBENGAL,WESTBENGAL,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_027,ST_MANIPUR,MANIPUR,MANIPUR,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_028,ST_MEGHALAYA,MEGHALAYA,MEGHALAYA,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_029,ST_MIZROM,MIZROM,MIZROM,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_030,ST_NAGALAND,NAGALAND,NAGALAND,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_031,ST_SIKKIM,SIKKIM,SIKKIM,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
SM_032,ST_TRIPURA,TRIPURA,TRIPURA,Y,DIRECT_EXACT,CASE_INSENSITIVE_TRIM
