State_Code,Source_State,UI_Display_Value,Is_Active
ST_AP,ANDHARA PRADESH,ANDHARA PRADESH,Y
ST_ARUNACHAL_PRADESH,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Y
ST_AS,ASSAM,ASSAM,Y
ST_BR,BIHAR,BIHAR,Y
ST_CG,CHHATTISGARH,CHHATTISGARH,Y
ST_CH,CHANDIGARH,CHANDIGARH,Y
ST_DL,DELHI,DELHI,Y
ST_GA,GOA,GOA,Y
ST_GJ,GUJARAT,GUJARAT,Y
ST_HP,HIMACHAL PRADESH,HIMACHAL PRADESH,Y
ST_HR,HARYANA,HARYANA,Y
ST_JH,JHARKHAND,JHARKHAND,Y
ST_JK,JAMMU & KASHMIR,JAMMU & KASHMIR,Y
ST_KA,KARNATAKA,KARNATAKA,Y
ST_KL,KERALA,KERALA,Y
ST_MANIPUR,MANIPUR,MANIPUR,Y
ST_MEGHALAYA,MEGHALAYA,MEGHALAYA,Y
ST_MH,MAHARASHTRA,MAHARASHTRA,Y
ST_MIZROM,MIZROM,MIZROM,Y
ST_MP,MADHYA PRADESH,MADHYA PRADESH,Y
ST_NAGALAND,NAGALAND,NAGALAND,Y
ST_OD,ODISHA,ODISHA,Y
ST_PB,PUNJAB,PUNJAB,Y
ST_RJ,RAJASTHAN,RAJASTHAN,Y
ST_SIKKIM,SIKKIM,SIKKIM,Y
ST_TN,TAMIL NADU,TAMIL NADU,Y
ST_TRIPURA,TRIPURA,TRIPURA,Y
ST_TS,TELENGANA,TELENGANA,Y
ST_UK,UTTARKHAND,UTTARKHAND,Y
ST_UP,UTTAR PRADESH,UTTAR PRADESH,Y
ST_WB,WESTBENGAL,WESTBENGAL,Y
