Product_Code,Original_Value,SubProduct_Code
PROD_2W,BIKE,SP_2W_BIKE
PROD_2W,SCOOTER,SP_2W_SCOOTER
PROD_PC,PRIVATE CAR,SP_PC_CAR
PROD_GCV,4W - 12000 TO 20000 GVW,SP_GCV_4W_12000_TO_20000_GVW
PROD_GCV,4W - 20000 TO 40000 GVW,SP_GCV_4W_20000_TO_40000_GVW
PROD_GCV,4W - 2500 TO 3500 GVW,SP_GCV_4W_2500_TO_3500_GVW
PROD_GCV,4W - 3500 TO 7500 GVW,SP_GCV_4W_3500_TO_7500_GVW
PROD_GCV,4W - 7500 TO 12000 GVW,SP_GCV_4W_7500_TO_12000_GVW
PROD_GCV,4W - ABOVE 40000 GVW,SP_GCV_4W_ABOVE_40000_GVW
PROD_GCV,4W - SPECIAL CATG,SP_GCV_4W_SPECIAL_CATG
PROD_GCV,4W - UPTO 2500 GVW,SP_GCV_4W_UPTO_2500_GVW
PROD_GCV,GCV 3W,SP_GCV_GCV_3W
PROD_GCV,GCV 3W-EV,SP_GCV_GCV_3W_EV
PROD_MISC,AGRICULTURE TRACTOR,SP_MISC_TRACTOR_AGRI
PROD_MISC,MISC D,SP_MISC_ALL
PROD_PCV,PCV 3W,SP_PCV_3W
PROD_PCV,PCV 3W-EV,SP_PCV_3W_EV
PROD_PCV,PCV BUS - STAFF,SP_PCV_STAFFBUS
PROD_PCV,PCV BUS - STUDENTS,SP_PCV_SCHOOLBUS
PROD_PCV,PCV TAXI - UPTO 6+1 SEAT,SP_PCV_TAXI_UPTO_6_1
