SubProduct_Code,SubProduct_Name,Product_Code,Is_Active
SP_2W_BIKE,BIKE,PROD_2W,Y
SP_2W_SCOOTER,SCOOTER,PROD_2W,Y
SP_GCV_4W_12000_TO_20000_GVW,4W - 12000 TO 20000 GVW,PROD_GCV,Y
SP_GCV_4W_20000_TO_40000_GVW,4W - 20000 TO 40000 GVW,PROD_GCV,Y
SP_GCV_4W_2500_TO_3500_GVW,4W - 2500 TO 3500 GVW,PROD_GCV,Y
SP_GCV_4W_3500_TO_7500_GVW,4W - 3500 TO 7500 GVW,PROD_GCV,Y
SP_GCV_4W_7500_TO_12000_GVW,4W - 7500 TO 12000 GVW,PROD_GCV,Y
SP_GCV_4W_ABOVE_40000_GVW,4W - ABOVE 40000 GVW,PROD_GCV,Y
SP_GCV_4W_SPECIAL_CATG,4W - SPECIAL CATG,PROD_GCV,Y
SP_GCV_4W_UPTO_2500_GVW,4W - UPTO 2500 GVW,PROD_GCV,Y
SP_GCV_GCV_3W,GCV 3W,PROD_GCV,Y
SP_GCV_GCV_3W_EV,GCV 3W-EV,PROD_GCV,Y
SP_MISC_TRACTOR_AGRI,AGRICULTURE TRACTOR,PROD_MISC,Y
SP_MISC_ALL,MISC D,PROD_MISC,Y
SP_PCV_3W,PCV 3W,PROD_PCV,Y
SP_PCV_3W_EV,PCV 3W-EV,PROD_PCV,Y
SP_PCV_STAFFBUS,PCV BUS - STAFF,PROD_PCV,Y
SP_PCV_SCHOOLBUS,PCV BUS - STUDENTS,PROD_PCV,Y
SP_PCV_TAXI_UPTO_6_1,PCV TAXI - UPTO 6+1 SEAT,PROD_PCV,Y
SP_PC_CAR,PRIVATE CAR,PROD_PC,Y
