Rule_ID,Recon_Code,ZONE,STATE,LOCATION,PRODUCT,SUB_PRODUCT,BUSINESS_TYPE,SUB_LINE,INSURER_NAME,INFLOW
RAW_000001,AP1GC282P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 12000 TO 20000 GVW,RO/RN,PKG,CHOLA,"22.00%{NT(W/O CPA -2% Less - Upto 16K Ton),17.00%{NT(W/O CPA -2% Less - Aove 16K Ton)"
RAW_000002,AP1GC292P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 20000 TO 40000 GVW,RO/RN,PKG,CHOLA,29.50%{NT(W/O CPA -2% Less)
RAW_000003,AP1GC292T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 20000 TO 40000 GVW,RO/RN,TP,CHOLA,19.50%{NT(W/O CPA -2% Less)
RAW_000004,AP1GC262P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 3500 TO 7500 GVW,RO/RN,PKG,CHOLA,14.50%{NT(W/O CPA -2% Less)
RAW_000005,AP1GC262T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 3500 TO 7500 GVW,RO/RN,TP,CHOLA,9.50%{NT(W/O CPA -2% Less)
RAW_000006,AP1GC272P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 7500 TO 12000 GVW,RO/RN,PKG,CHOLA,22.00%{NT(W/O CPA -2% Less)
RAW_000007,AP1GC272T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 7500 TO 12000 GVW,RO/RN,TP,CHOLA,9.50%{NT(W/O CPA -2% Less)
RAW_000008,AP1GC302P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - ABOVE 40000 GVW,RO/RN,PKG,CHOLA,"24.50%{NT(W/O CPA -2% Less - Above 43K to 47.5K Ton),22.00%{NT(W/O CPA -2% Less - Upto 43K Ton),19.50%{NT(W/O CPA -2% Less - Above 47.5K to 56K Ton)"
RAW_000009,AP1GC302T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - ABOVE 40000 GVW,RO/RN,TP,CHOLA,"24.50%{NT(W/O CPA -2% Less - Upto 43K Ton),19.50%{NT(W/O CPA -2% Less - Above 43K to 47.5K Ton),14.50%{NT(W/O CPA -2% Less - Above 47.5K to 56K Ton)"
RAW_000010,AP1GC222P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,GCV 3W,RO/RN,PKG,CHOLA,37.00%{NT(W/O CPA -2% Less)
RAW_000011,AP1GC222T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,GCV 3W,RO/RN,TP,CHOLA,32.00%{NT(W/O CPA -2% Less)
RAW_000012,AP1MI332P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,MISC-D,MISC D,RO/RN,PKG,CHOLA,"35.00%{NT(W/O CPA -2% Less - HARVESTOR),30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)"
RAW_000013,AP1MI332T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,MISC-D,MISC D,RO/RN,TP,CHOLA,"30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)"
RAW_000014,AP1PC152P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV 3W,RO/RN,PKG,CHOLA,17.50%{NT(W/O CPA -2% Less)
RAW_000015,AP1PC152T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV 3W,RO/RN,TP,CHOLA,12.50%{NT(W/O CPA -2% Less)
RAW_000016,AP1PR142S,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PRIVATE CAR,PRIVATE CAR,RO/RN,SAOD,CHOLA,20.00%{OD(Above 1500CC - petrol)
RAW_000017,AP1PR142T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PRIVATE CAR,PRIVATE CAR,RO/RN,TP,CHOLA,"20.00%{NT(W/O CPA -2% Less - Above 1000CC to 1500CC),20.00%{NT(W/O CPA -2% Less - Above 1500CC)"
