Source_File,Source_Sheet,Source_Row,Recon_Code,ZONE,Source_State,Source_Location,Source_Product,Source_SubProduct,Source_Business_Type,Source_SubLine,Insurer_Name,Source_Rate_Field,Rate_Type,Rate_Value,Effective_From,Product_Code,SubProduct_Code,BusinessType_Code,UI_Business_Type,Rule_Business_Variant,SubLine_Code,State_Code,Location_Code
July-26.xlsx,Sheet1,2,AP1GC282P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 12000 TO 20000 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,"22.00%{NT(W/O CPA -2% Less - Upto 16K Ton),17.00%{NT(W/O CPA -2% Less - Aove 16K Ton)",01-07-2026,PROD_GCV,SP_GCV_4W_12000_TO_20000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,3,AP1GC292P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 20000 TO 40000 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,29.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_20000_TO_40000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,4,AP1GC292T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 20000 TO 40000 GVW,RO/RN,TP,CHOLA,INFLOW,INFLOW,19.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_20000_TO_40000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,5,AP1GC262P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 3500 TO 7500 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,14.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_3500_TO_7500_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,6,AP1GC262T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 3500 TO 7500 GVW,RO/RN,TP,CHOLA,INFLOW,INFLOW,9.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_3500_TO_7500_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,7,AP1GC272P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 7500 TO 12000 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,22.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_7500_TO_12000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,8,AP1GC272T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - 7500 TO 12000 GVW,RO/RN,TP,CHOLA,INFLOW,INFLOW,9.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_4W_7500_TO_12000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,9,AP1GC302P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - ABOVE 40000 GVW,RO/RN,PKG,CHOLA,INFLOW,INFLOW,"24.50%{NT(W/O CPA -2% Less - Above 43K to 47.5K Ton),22.00%{NT(W/O CPA -2% Less - Upto 43K Ton),19.50%{NT(W/O CPA -2% Less - Above 47.5K to 56K Ton)",01-07-2026,PROD_GCV,SP_GCV_4W_ABOVE_40000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,10,AP1GC302T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,4W - ABOVE 40000 GVW,RO/RN,TP,CHOLA,INFLOW,INFLOW,"24.50%{NT(W/O CPA -2% Less - Upto 43K Ton),19.50%{NT(W/O CPA -2% Less - Above 43K to 47.5K Ton),14.50%{NT(W/O CPA -2% Less - Above 47.5K to 56K Ton)",01-07-2026,PROD_GCV,SP_GCV_4W_ABOVE_40000_GVW,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,11,AP1GC222P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,GCV 3W,RO/RN,PKG,CHOLA,INFLOW,INFLOW,37.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_GCV_3W,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,12,AP1GC222T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,GCV,GCV 3W,RO/RN,TP,CHOLA,INFLOW,INFLOW,32.00%{NT(W/O CPA -2% Less),01-07-2026,PROD_GCV,SP_GCV_GCV_3W,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,13,AP1MI332P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,MISC-D,MISC D,RO/RN,PKG,CHOLA,INFLOW,INFLOW,"35.00%{NT(W/O CPA -2% Less - HARVESTOR),30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)",01-07-2026,PROD_MISC,SP_MISC_ALL,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,14,AP1MI332T,SOUTH,ANDHARA PRADESH,VIJAYAWADA,MISC-D,MISC D,RO/RN,TP,CHOLA,INFLOW,INFLOW,"30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)",01-07-2026,PROD_MISC,SP_MISC_ALL,BT_RO_RN,Renewal / Rollover,RO/RN,SL_TP,ST_AP,LOC_AP_VIJAYAWADA
July-26.xlsx,Sheet1,15,AP1PC152P,SOUTH,ANDHARA PRADESH,VIJAYAWADA,PCV,PCV 3W,RO/RN,PKG,CHOLA,INFLOW,INFLOW,17.50%{NT(W/O CPA -2% Less),01-07-2026,PROD_PCV,SP_PCV_3W,BT_RO_RN,Renewal / Rollover,RO/RN,SL_PKG,ST_AP,LOC_AP_VIJAYAWADA
